,10325|AMST|135|Peoples and Cultures of the Americas|13:00|13:50|Dis|TBA|0.0|W
,10327|AMST|135|Peoples and Cultures of the Americas|13:00|13:50|Dis|TBA|0.0|M
,10338|AMST|150|The American War in Viet Nam|15:30|16:50|Lec|Viet Nguyen|4.0|MW
,10339|AMST|150|The American War in Viet Nam|10:00|10:50|Dis|TBA|0.0|W
,10340|AMST|150|The American War in Viet Nam|12:00|12:50|Dis|TBA|0.0|F
,10342|AMST|150|The American War in Viet Nam|13:00|13:50|Dis|TBA|0.0|W
,10343|AMST|150|The American War in Viet Nam|13:00|13:50|Dis|TBA|0.0|F
,10347|AMST|200|Introduction to American Studies and Ethnicity|12:30|13:50|Lec|Alicia Chavez|4.0|TH
,10348|AMST|200|Introduction to American Studies and Ethnicity|12:00|12:50|Dis|TBA|0.0|W
,10349|AMST|200|Introduction to American Studies and Ethnicity|12:00|12:50|Dis|TBA|0.0|F
,10359|AMST|204|Introduction to Native Studies|10:00|11:50|Lec|Chris Finley|4.0|MW
,10360|AMST|205|Introduction to American Popular Culture|12:00|13:50|Lec|Jonathan Leal|4.0|MW
,10364|AMST|205|Introduction to American Popular Culture|15:00|15:50|Dis|TBA|0.0|W
,10365|AMST|205|Introduction to American Popular Culture|13:00|13:50|Dis|TBA|0.0|F
,10361|AMST|206|The Politics and Culture of the 1960s|14:00|15:20|Lec|Rick Berg|4.0|TH
,10362|AMST|206|The Politics and Culture of the 1960s|15:00|15:50|Dis|TBA|0.0|W
,10369|AMST|206|The Politics and Culture of the 1960s|16:00|16:50|Dis|TBA|0.0|W
,10370|AMST|206|The Politics and Culture of the 1960s|12:00|12:50|Dis|TBA|0.0|F
,10374|AMST|206|The Politics and Culture of the 1960s|13:00|13:50|Dis|TBA|0.0|F
,10300|AMST|211|Sex in America|14:00|15:20|Lec|Nayan Shah|4.0|MW
,10301|AMST|211|Sex in America|11:00|11:50|Dis|TBA|0.0|F
,10302|AMST|211|Sex in America|13:00|13:50|Dis|TBA|0.0|F
,10371|AMST|220|The Making of Asian America|11:00|11:50|Lec|Samantha Ikehara|4.0|MWF
,10366|AMST|242|Social Responses to Disaster|15:30|16:50|Lec|Joshua Mitchell|4.0|TH
,10367|AMST|242|Social Responses to Disaster|12:00|12:50|Dis|TBA|0.0|H
,10368|AMST|242|Social Responses to Disaster|12:00|12:50|Dis|TBA|0.0|F
,10372|AMST|250|The African Diaspora|12:30|13:50|Lec|Oneka LaBennett|4.0|TH
,10376|AMST|250|The African Diaspora|12:00|12:50|Dis|TBA|0.0|W
,10377|AMST|250|The African Diaspora|12:00|12:50|Dis|TBA|0.0|M
,10378|AMST|250|The African Diaspora|13:00|13:50|Dis|TBA|0.0|M
,10380|AMST|250|The African Diaspora|13:00|13:50|Dis|TBA|0.0|W
,10399|AMST|285|African American Popular Culture|12:00|13:50|Lec|Lanita Jacobs|4.0|MW
,10400|AMST|285|African American Popular Culture|16:00|16:50|Dis|TBA|0.0|W
,10401|AMST|285|African American Popular Culture|15:00|15:50|Dis|TBA|0.0|W
,10408|AMST|301|America, the Frontier, and the New West|14:00|15:50|Lec|Thomas Gustafson|4.0|MW
,10409|AMST|301|America, the Frontier, and the New West|11:00|11:50|Dis|TBA|0.0|F
,10411|AMST|301|America, the Frontier, and the New West|16:00|16:50|Dis|TBA|0.0|M
,10412|AMST|301|America, the Frontier, and the New West|16:00|16:50|Dis|TBA|0.0|W
,10413|AMST|301|America, the Frontier, and the New West|10:00|10:50|Dis|TBA|0.0|F
,10420|AMST|305|Art and Performance in the Americas|15:30|16:50|Lec|Dorinne Kondo|4.0|MW
,34266|AMST|318|Global Cyphers: Hip Hop Circles Around the World|TBA|TBA|Lec|Edwin Hill|4.0|TBA
,10422|AMST|331|The Black Atlantic: Narratives of Migration and Travel|14:00|15:20|Lec|Lydie Moudileno|4.0|MW
,10419|AMST|343|Food, Health and Culture in Los Angeles|15:30|16:50|Lec|Sarah Portnoy|4.0|MW
,10429|AMST|357|Latino Social Movements|09:30|10:50|Lec|Alicia Chavez|4.0|TH
,10426|AMST|365|Leadership in the Community -- Internship|14:00|16:50|Lec|Stanley Huey|4.0|W
,10428|AMST|373|History of the Mexican American|11:00|12:20|Lec|Juan De Lara|4.0|TH
,61499|AMST|376|Contemporary Issues in Asian American Communities|14:00|16:50|Lec|Jennifer Kwak|4.0|W
,10430|AMST|378|Introduction to Asian American History|17:00|18:20|Lec|Adrian De Leon|4.0|TH
,10433|AMST|392|Undergraduate Research Methods|12:30|13:50|Lec|TBA|2.0|T
,52080|AMST|424|Political Participation and American Diversity|09:30|10:50|Lec|Morris Levy|4.0|MW
,32745|AMST|442|American Literature, 1920 to the Present|12:30|13:50|Lec|David Roman|4.0|TH
,10744|AMST|445|African American Anthropology|14:00|16:50|Lec|Lanita Jacobs|4.0|M
,10437|AMST|448|Chicano and Latino Literature|14:00|15:20|Lec|Elda Maria Roman|4.0|TH
,10438|AMST|449|Asian American Literature|14:00|16:50|Lec|Adrian De Leon|4.0|W
,10439|AMST|452|Race, Gender and Sexuality|15:30|16:50|Lec|Chris Finley|4.0|MW
,10441|AMST|490|Directed Research|TBA|TBA|Lec|TBA|2.0-8.0|TBA
,10442|AMST|490|Directed Research|TBA|TBA|Lec|TBA|1.0-8.0|TBA
,10443|AMST|493|Senior Honors Thesis in American Studies and Ethnicity|14:00|16:50|Lec|Juan De Lara|4.0|T
,10452|AMST|510|Readings in Chicano/Latino Studies|17:00|19:50|Lec|Shawn McDaniel|4.0|T
,10462|AMST|552|Archives and Subcultures|16:00|18:50|Lec|Nayan Shah|4.0|M
,10464|AMST|554|Readings in Chicano/Latino History|14:00|16:50|Lec|Celeste Menchaca|4.0|F
,10672|AMST|562|The Practice of Ethnography|14:00|16:50|Lec|Emily Zeamer|4.0|H
,10468|AMST|570|Readings on Los Angeles and Urban Culture|17:00|19:50|Lec|Leland Saito|4.0|H
,10478|AMST|590|Directed Research|TBA|TBA|Lec|TBA|1.0-12.0|TBA
,20950|AMST|657|Critical Theories of Race and Culture|15:30|18:20|Lec|Ben Carrington|4.0|M
,10487|AMST|660|Interdisciplinary Research Seminar in Race and Ethnicity|14:00|16:50|Lec|Oneka LaBennett|4.0|T
,10492|AMST|701|Contemporary Theories of American Studies and Ethnicity|14:00|16:50|Lec|Evelyn Alsultany|4.0|M
,10493|AMST|790|Research|TBA|TBA|Lec|TBA|1.0-12.0|TBA
,10495|AMST|794A|Doctoral Dissertation|TBA|TBA|Lec|TBA|2.0|TBA
,10496|AMST|794B|Doctoral Dissertation|TBA|TBA|Lec|TBA|2.0|TBA
,10497|AMST|794C|Doctoral Dissertation|TBA|TBA|Lec|TBA|2.0|TBA
,10498|AMST|794D|Doctoral Dissertation|TBA|TBA|Lec|TBA|2.0|TBA
,10499|AMST|794Z|Doctoral Dissertation|TBA|TBA|Lec|TBA|0.0|TBA
,10601|ANTH|101|Body, Mind and Healing: Introduction to Medical Anthropology|08:30|09:50|Lec|Erin Moore|4.0|MW
,10602|ANTH|140|Mesoamerican Cosmovision and Culture|14:00|15:20|Lec|Eric Heller|4.0|MW
,10603|ANTH|140|Mesoamerican Cosmovision and Culture|16:00|16:50|Dis|Eric Heller|0.0|M
,10604|ANTH|140|Mesoamerican Cosmovision and Culture|17:00|17:50|Dis|Eric Heller|0.0|M
,10605|ANTH|140|Mesoamerican Cosmovision and Culture|16:00|16:50|Dis|Eric Heller|0.0|W
